Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
191755077,Trial of the Sun Queen (Artefacts of Ouranos #1),Nisha J. Tuli,"Tuli, Nisha J.",,"=""1538767481""","=""9781538767481""",0,3.91,Forever,Paperback,400,2023,2022,,2024/02/25,to-read,to-read (#1285),to-read,,,,0,0
32025411,The Seven Deadly Sins of Psychology: A Manifesto for Reforming the Culture of Scientific Practice,Chris   Chambers,"Chambers, Chris",,"=""0691158908""","=""9780691158907""",0,4.41,Princeton University Press,Hardcover,288,2017,,,2024/02/25,to-read,to-read (#1284),to-read,,,,0,0
176028633,The Necessity of Exile: Essays from a Distance,Shaul Magid,"Magid, Shaul",,"=""""","=""9798986780337""",0,4.23,Ayin Press,Kindle Edition,295,2023,,,2024/02/25,to-read,to-read (#1283),to-read,,,,0,0
127230,On Violence,Hannah Arendt,"Arendt, Hannah",,"=""0156695006""","=""9780156695008""",0,3.78,Harvest Books,Paperback,106,1970,1970,,2024/02/25,to-read,to-read (#1282),to-read,,,,0,0
13030260,The Devil in Silver,Victor LaValle,"LaValle, Victor",,"=""1400069866""","=""9781400069866""",0,3.54,Spiegel & Grau,Hardcover,412,2012,2012,,2024/02/25,to-read,to-read (#1281),to-read,,,,0,0
25852784,Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,"=""0553447432""","=""9780553447439""",0,4.47,Crown Publishers,Hardcover,418,2016,2016,,2024/02/25,to-read,to-read (#1280),to-read,,,,0,0
29889975,Vietnam: A New History,Christopher E. Goscha,"Goscha, Christopher E.",,"=""0465094368""","=""9780465094363""",0,4.04,Basic Books,Hardcover,592,2016,2016,,2024/02/25,to-read,to-read (#1279),to-read,,,,0,0
127282429,Who's Afraid of Gender?,Judith Butler,"Butler, Judith",,"=""0374608229""","=""9780374608224""",0,3.89,"Farrar, Straus and Giroux",Hardcover,320,2024,,,2024/02/25,to-read,to-read (#1278),to-read,,,,0,0
201519,The Cultural Politics of Emotion,Sara Ahmed,"Ahmed, Sara",,"=""0415972558""","=""9780415972550""",0,4.33,Routledge,Paperback,224,2004,2004,,2024/02/25,to-read,to-read (#1277),to-read,,,,0,0
85862,"Times Square Red, Times Square Blue",Samuel R. Delany,"Delany, Samuel R.",,"=""0814719201""","=""9780814719206""",0,4.18,New York University Press,Paperback,203,2001,1999,,2024/02/25,to-read,to-read (#1276),to-read,,,,0,0
62121316,The City Authentic: How the Attention Economy Builds Urban America,David A. Banks,"Banks, David A.",,"=""0520383451""","=""9780520383456""",0,3.93,University of California Press,Paperback,224,2023,2023,,2024/02/25,to-read,to-read (#1275),to-read,,,,0,0
52203531,Terraformed: Young Black Lives In The Inner City,Joy White,"White, Joy",,"=""1912248689""","=""9781912248681""",0,4.15,Repeater,Paperback,165,2020,2020,,2024/02/25,to-read,to-read (#1274),to-read,,,,0,0
112975288,The Lies of the Land: Seeing Rural America for What It Is―and Isn’t,Steven Conn,"Conn, Steven",,"=""0226826902""","=""9780226826905""",0,4.06,University of Chicago Press,Hardcover,320,2023,2023,,2024/02/25,to-read,to-read (#1273),to-read,,,,0,0
195790563,"Blood Jade (Phoenix Hoard, #2)",Julia Vee,"Vee, Julia",Ken Bebelle,"=""1250837928""","=""9781250837929""",0,3.50,Tor Books,Hardcover,448,2024,2024,,2024/02/22,to-read,to-read (#1272),to-read,,,,0,0
