Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-12-12,Faust,1994,https://boxd.it/3woqwn,4.5,,,2018-07-14
2019-03-05,Sleepwalkers,1992,https://boxd.it/ELp13,2.5,,,2019-03-05
2019-03-06,The Man Who Killed Hitler and Then the Bigfoot,2018,https://boxd.it/EO6O7,3,,,2019-03-05
2019-03-11,Wildlife,2018,https://boxd.it/F3LdL,3,,,2019-03-10
2019-03-12,Drag Me to Hell,2009,https://boxd.it/F7Pyh,2,,,2019-03-10
2019-03-12,Deep Red,1975,https://boxd.it/F7Kuz,3.5,,,2019-03-11
2019-03-13,Candyman,1992,https://boxd.it/FaZ27,5,,,2019-03-13
2019-03-20,Detention,2011,https://boxd.it/FxfP9,4.5,,,2019-03-19
2019-03-20,Bubba Ho-tep,2002,https://boxd.it/FxE51,3,,,2019-03-20
2019-03-21,Attack the Block,2011,https://boxd.it/FzRLD,5,Yes,,2019-03-20
2019-03-25,Hail Satan?,2019,https://boxd.it/FMC6V,5,,,2019-03-24
2019-04-01,Tales from the Crypt,1972,https://boxd.it/G8wnv,3,,,2019-03-31
2019-04-01,Tales from the Crypt: Demon Knight,1995,https://boxd.it/G8wsF,2.5,,,2019-03-31
2019-04-01,The Hunger,1983,https://boxd.it/G8wxl,2.5,,,2019-03-31
2019-04-10,Razorback,1984,https://boxd.it/GxSSv,3.5,,,2019-04-09
2019-05-14,The Inventor: Out for Blood in Silicon Valley,2019,https://boxd.it/I9Rux,4.5,,,2019-05-12
2019-05-20,Horror Noire: A History of Black Horror,2019,https://boxd.it/IrP57,4.5,,,2019-05-19
2019-05-21,Brain Dead,1990,https://boxd.it/IuFK1,3,,,2019-05-20
2019-05-26,Demon,2015,https://boxd.it/IJo35,4,,,2019-05-26
2019-05-26,Repo! The Genetic Opera,2008,https://boxd.it/IJqUl,3,,,2019-05-26
2019-05-28,Greetings from Tromaville!,2017,https://boxd.it/IOmEN,3.5,,,2019-05-26
2019-06-01,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/J22qJ,4.5,,,2019-05-31
2019-07-23,Us,2019,https://boxd.it/LBHhh,3.5,,,2019-05-31
2019-06-09,Dark Phoenix,2019,https://boxd.it/JqGjV,2.5,,,2019-06-09
2019-06-25,Vampire's Kiss,1988,https://boxd.it/KdutH,3.5,,,2019-06-24
2019-07-23,Avengers: Endgame,2019,https://boxd.it/LBHcB,3.5,,,2019-06-28
2019-07-01,The Cleaners,2018,https://boxd.it/KtOg1,4,,,2019-06-30
2019-09-15,Tully,2018,https://boxd.it/OtUf5,3,,,2019-07-01
2019-09-15,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/OtUkp,1.5,,,2019-07-07
2019-07-23,Shazam!,2019,https://boxd.it/LBHal,4,,,2019-07-11
2019-07-23,Spider-Man: Far From Home,2019,https://boxd.it/LBH5Z,4,,,2019-07-18
2019-07-24,Hellboy,2019,https://boxd.it/LGE6b,2,,,2019-07-23
2019-08-02,What We Left Behind: Looking Back at Star Trek: Deep Space Nine,2018,https://boxd.it/Ma2AR,5,,,2019-08-01
2019-09-15,Split,2016,https://boxd.it/OtU3t,3,,,2019-08-07
2019-08-16,Scary Stories to Tell in the Dark,2019,https://boxd.it/MTOvZ,4,,,2019-08-15
