Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-09,Hard SF/Cosmic Horror,,https://boxd.it/j35T4,Semi ranked by a combination of quality and closeness to the theme

Position,Name,Year,URL,Description
1,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
2,Annihilation,2018,https://boxd.it/9yzm,
3,Moon,2009,https://boxd.it/1IGQ,
4,The Fly,1986,https://boxd.it/1YIe,
5,The Thing,1982,https://boxd.it/294O,
6,Arrival,2016,https://boxd.it/aNGk,
7,Nope,2022,https://boxd.it/sDCe,
8,Shin Godzilla,2016,https://boxd.it/a9lm,
9,Event Horizon,1997,https://boxd.it/20d8,
10,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
11,Attack the Block,2011,https://boxd.it/hFO,
12,The Fifth Element,1997,https://boxd.it/71k,
13,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,
14,War for the Planet of the Apes,2017,https://boxd.it/8FE2,
15,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,
16,Re-Animator,1985,https://boxd.it/28hM,
17,Children of Men,2006,https://boxd.it/1Y2i,
18,Resident Evil,2002,https://boxd.it/28z2,
19,The Void,2016,https://boxd.it/d93S,
20,In the Mouth of Madness,1994,https://boxd.it/26vi,
21,Primer,2004,https://boxd.it/6YA,
22,They Live,1988,https://boxd.it/20lm,
23,The Platform,2019,https://boxd.it/mUm6,
24,Depraved,2019,https://boxd.it/i7Be,
25,Glorious,2022,https://boxd.it/zrn6,
26,We're All Going to the World's Fair,2021,https://boxd.it/tbmY,
27,Twelve Monkeys,1995,https://boxd.it/2beQ,
28,Videodrome,1983,https://boxd.it/29uC,
29,From Beyond,1986,https://boxd.it/1NXi,
30,Color Out of Space,2019,https://boxd.it/k1HY,
31,Stargate,1994,https://boxd.it/27iu,
32,Detention,2011,https://boxd.it/2cHk,
33,Darkman,1990,https://boxd.it/1YnK,
34,The Andromeda Strain,1971,https://boxd.it/1W4Q,
35,Grabbers,2012,https://boxd.it/2XL4,
36,The Last Winter,2006,https://boxd.it/1LMC,
37,Antlers,2021,https://boxd.it/iI50,
38,Contact,1997,https://boxd.it/29OM,
39,Star Trek: The Motion Picture,1979,https://boxd.it/2b0O,
40,Edge of Tomorrow,2014,https://boxd.it/4pD0,
41,Star Trek: First Contact,1996,https://boxd.it/2aTo,
42,Zardoz,1974,https://boxd.it/23Fa,
