Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-04-26,Channel Zero: Candle Cove,2016,,3.5,,,2021-04-17
2021-04-26,Channel Zero: No-End House,2017,,3,,,2021-04-19
2021-04-26,Channel Zero: Butcher's Block,2018,,4,,,2021-04-25
2021-04-27,Channel Zero: The Dream Door,2018,,4,,,2021-04-27
2021-09-07,JoJo's Bizarre Adventure: Part 1 - Phantom Blood,2012,,2.5,,,2021-08-20
2021-09-07,JoJo's Bizarre Adventure: Part 2 - Battle Tendency,2012,,3,,,2021-08-31
2021-09-07,JoJo's Bizarre Adventure: Part 3 - Stardust Crusaders,2014,,3.5,,,2021-09-03
2021-09-07,JoJo's Bizarre Adventure: Part 4 - Diamond Is Unbreakable,2016,,3.5,,,2021-09-07
2023-01-07,13 Steps to Hell (Washington),2020,,4,,,2022-11-23
2023-01-01,Folklore: 7 Days of Hell,,,4,,,2022-12-31
2023-01-01,Folklore: Grandma's Kiss,2021,,3.5,,,2023-01-01
2023-01-02,Folklore: Nobody,2018,,3.5,,,2023-01-01
2023-11-26,Journey to EPCOT Center: A Symphonic History,2023,,3.5,,,2023-11-25
