Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-03-25,Hail Satan?,2019,https://boxd.it/FMC6V,5,,"Really enjoyed this film, excellently done. A great subject and technically well done with a number of really interesting interviews.",,2019-03-24
2019-10-02,Ghostland,2018,https://boxd.it/PmikB,0.5,,Yuck.,,2019-10-01
2019-11-28,Margaret,2011,https://boxd.it/SMgDF,1,,"Wow, impressively this film made me actively dislike everyone in it. What a slog.",,2019-11-27
2019-12-30,Doom: Annihilation,2019,https://boxd.it/V5S2N,1.5,,Neither interestingly bad nor particularly good. Meh.,,2019-12-30
2020-01-03,Knives Out,2019,https://boxd.it/VwSl5,4.5,,"It's hard to remember the last time I had so much fun watching a film. Rare as it is, this one was just a lot of fun.",,2020-01-02
2020-02-08,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/YMnTz,4,,"Give them all more movies and also more Birds of Prey movies!

I just had a ton of fun in this film!",,2020-02-07
2020-02-18,A.M.I.,2019,https://boxd.it/ZKaQn,2.5,,"Perfectly dumb, I laughed a bunch.",,2020-02-18
2020-04-16,Never Surrender: A Galaxy Quest Documentary,2019,https://boxd.it/15yoNn,4,,Just lovely.,,2020-04-15
2020-04-29,DeVour,2005,https://boxd.it/179xg1,2,,Wut?!,,2020-04-28
2020-05-16,Matinee,1993,https://boxd.it/19bdk5,4,,"Damn John Goodman is one charming mfer. This is a fun film, and he pushes it over the top",,2020-05-15
2020-06-07,Pure,2019,https://boxd.it/1bDcdV,2.5,,"This is a better Into the Dark entry, though it gets weaker at the end. There is a lot if good in there to balance out the last minute blowout of bad. The highlights include some clever good-looking camera work and Jahkara Smith, who sells every scene 100% and deserves to be in a much better film than this one.",,2020-06-06
2020-06-11,Stage Fright,2014,https://boxd.it/1c588D,3,,It's fine and it has Meat Loaf but it's no Anna and the Apocalypse.,,2020-06-10
2020-06-13,Sleepaway Camp II: Unhappy Campers,1988,https://boxd.it/1chfT1,1.5,,So the twist is that there is no twist?,,2020-06-12
2020-06-13,Good Boy,2020,https://boxd.it/1cieh3,3.5,,Lol,,2020-06-13
2020-06-14,Tamara,2005,https://boxd.it/1comjj,1.5,,"I dunno, maybe just watch Jennifer's Body and The Craft instead and then if you still really need to see some gore, Final Destination.",,2020-06-13
2020-06-20,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",2014,https://boxd.it/1d0jm1,4,,This was wonderfully charming and I enjoyed the heck out of it.,,2020-06-19
2020-06-20,Scare Package,2019,https://boxd.it/1d11Q5,3,,It was solid fun. I laughed!,,2020-06-20
2020-06-23,After Midnight,2019,https://boxd.it/1dj6sj,3.5,,"There were some points that put me off, but that third act was a hell of a thing.",,2020-06-22
2020-06-24,Z,2019,https://boxd.it/1dq4hH,3,,"Tracy is great in this, but the plot just degenerates towards the end and the cgi is... not great.",,2020-06-23
2020-06-26,The Covenant,2006,https://boxd.it/1dA4dv,1,,"Hard to believe this didn't sink all of their careers, but good for a laugh! But definite points for the line ""Harry Potter can kiss my ass""",,2020-06-25
2020-06-28,The Room,2019,https://boxd.it/1dNiG3,3,,"It isn't so much an evil holodeck as it is morons using it, but it's quite well done on a technical level. It's a pretty movie that could have used a better plot.",,2020-06-27
2020-06-30,You Should Have Left,2020,https://boxd.it/1e0MPP,2.5,,"I'm sorry the age difference between Seyfried and Bacon is just so so distracting. It's pretty standard, too much so, and competently put together... But come on, they are like 30 years apart and that kid is like 8... Oy.",,2020-06-29
2020-07-01,Bones,2001,https://boxd.it/1e6wm5,3.5,,"A good looking film with some solid practical effects and hey... also Snoop, performing on key, along with a solid cast overall. And also Pam Grier! The main issue is the editing: some weird choices about how to organize the film and it dragging a bit.",,2020-06-30
2020-07-04,What Lies Beneath,2000,https://boxd.it/1eoevT,3,,"We get it Zemeckis, you like Hitchcock.",,2020-07-03
2020-07-04,Splice,2009,https://boxd.it/1ep4CR,3,,When I found out this was made by the same people who made Cube suddenly it all made sense.,,2020-07-04
2020-07-18,Starship Troopers,1997,https://boxd.it/1fPWjv,4.5,Yes,Really a perfect film for this particular moment.,,2020-07-17
2020-07-20,Resident Evil: Extinction,2007,https://boxd.it/1g6Mzx,2.5,Yes,Resident Evil: Mad Max but very silly,,2020-07-19
