Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-11,Fun Trash,,https://boxd.it/eTolY,"I'm not recommending these movies, but I enjoyed watching them for inexplicable reasons."

Position,Name,Year,URL,Description
1,Abnormal Attraction,2018,https://boxd.it/li9w,
2,Super Hot,2021,https://boxd.it/w6SG,
3,Benny Loves You,2019,https://boxd.it/o30A,
4,Deathgasm,2015,https://boxd.it/avNs,
5,Blood Fest,2018,https://boxd.it/gW1i,
6,Tragedy Girls,2017,https://boxd.it/eB7K,
7,Halloween Party,2019,https://boxd.it/jQCe,
8,Monster Party,2018,https://boxd.it/goKS,
9,Bloody Hell,2020,https://boxd.it/q2CM,
10,The Ranger,2018,https://boxd.it/ic9O,
11,You Can't Kill Stephen King,2012,https://boxd.it/4qlQ,
12,Resolution,2012,https://boxd.it/41hY,
13,Intersect,2020,https://boxd.it/rDjY,
14,1BR,2019,https://boxd.it/mBag,
15,Host,2020,https://boxd.it/r5O4,
16,Aquaslash,2019,https://boxd.it/mqJY,
