Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-06,Movie Night,,https://boxd.it/cCLbg,

Position,Name,Year,URL,Description
1,Gargoyles,1972,https://boxd.it/10mi,
2,Colossal,2016,https://boxd.it/biZi,
3,Wolf,1994,https://boxd.it/1Wn4,
4,Police Story 3: Super Cop,1992,https://boxd.it/1Uyk,
5,Royal Warriors,1986,https://boxd.it/Pve,
6,Magnificent Warriors,1987,https://boxd.it/TYk,
7,The Heroic Trio,1993,https://boxd.it/TYu,
8,Moonfall,2022,https://boxd.it/ejwM,
9,Prisoners of the Ghostland,2021,https://boxd.it/j0NY,
10,See How They Run,2022,https://boxd.it/sNVq,
